slang,formal
"Susah bedain mana yang asli, mana yang editan IRL.","Susah membedakan mana yang asli, mana yang editan di kehidupan nyata."
Ngakak LOL baca komennya.,Tertawa terbahak-bahak membaca komentarnya.
"NP, santai aja.","Tidak masalah, santai saja."
"OMG, gue menang undian!","Ya Tuhan, saya menang undian!"
Coba liat dari POV dia deh.,Coba lihat dari sudut pandang dia.
Harus selesai RN juga nih tugasnya.,Harus selesai sekarang juga ini tugasnya.
"TFT ya buat hari ini, seru banget!","Terima kasih untuk hari ini ya, seru sekali!"
"WTH, kok bisa gini sih kejadiannya?","Apa-apaan ini, kok bisa begini kejadiannya?"
XOXO buat kamu.,Peluk cium untuk kamu.
"Maaf tadi AFK, ada tamu.","Maaf tadi sedang tidak di depan komputer/gawai, ada tamu."
"Banyak typo di tulisan gue, maapkeun.","Banyak salah ketik di tulisan saya, mohon maafkan."
Skuy lah kita mabar malem ini.,Ayo kita main bareng malam ini.
Jan ngadi-ngadi deh lu.,Jangan mengada-ada deh kamu.
"Ngab, pinjem seratus dulu dong.","Bang, pinjam seratus ribu dulu dong."
"Wagelaseh, keren banget sumpah!","Gila sekali, keren sekali sungguh!"
"Komuk lu biasa aja dong, jangan ditekuk gitu.","Ekspresi wajahmu biasa saja, jangan ditekuk begitu."
Ngendok dulu di sini bentar.,Berdiam diri/bersembunyi dulu di sini sebentar.
Gak ngotak emang idenya.,Tidak masuk akal memang idenya.
Luv banget sama pemberianmu.,Suka sekali dengan pemberianmu.
Mleyot liat senyumnya.,Meleleh/lemas melihat senyumnya.
Plis jangan spoiler filmnya.,Tolong jangan bocorkan isi filmnya.
Saltink itu namanya.,Salah tingkah itu namanya.
Sekut abis acaranya semalem.,Seru/asyik sekali acaranya semalam.
Typingnya alay bener.,Cara mengetiknya norak sekali.
"Uhuy, dapet rejeki nomplok.","(Ekspresi senang), dapat rezeki tidak terduga."
Valid no debat infonya.,Informasinya benar tanpa perdebatan.
"YGY, kita kudu semangat.","Ya teman-teman, kita harus semangat."
Asoy geboy dah pokoknya.,Asyik sekali pokoknya.
Gercep amat responnya.,Cepat sekali responsnya.
Bokin gue lagi ngambek.,Pacar saya sedang merajuk.
Cogan itu idaman para cewek.,Cowok ganteng itu idaman para perempuan.
Curcol dikit boleh ya.,Curhat sedikit boleh ya.
"Eaa, ada yang lagi kasmaran.","(Kata seru), ada yang sedang jatuh cinta."
"Hooh, bener banget kata lo.","Iya, benar sekali katamu."
Jamber nih? Gue telat gak?,Jam berapa ini? Saya terlambat tidak?
Kicep dia pas ketauan boong.,Dia terdiam ketika ketahuan berbohong.
Modus operandinya ketebak.,Cara kerjanya (untuk mendekati) mudah ditebak.
Nongki cantik dulu kita.,Nongkrong santai dulu kita (biasanya perempuan).
Pewe banget posisi ini.,Posisi ini nyaman sekali.
Rembes nih mata nonton drama Korea.,Menangis (sampai air mata keluar) menonton drama Korea.
"Gak pake lama, langsung jadi.","Tidak pakai waktu lama, langsung jadi."
Lo napa dah?,Kamu kenapa?
Gue cabut duluan ya.,Saya berangkat/pergi duluan ya.
"Biarin aja, gak usah dipikirin.","Biarkan saja, tidak usah dipikirkan."
Doi lagi sibuk kayaknya.,Dia (seseorang) sepertinya sedang sibuk.
Ntar malem ada acara apa?,Nanti malam ada acara apa?
Bokap gue marah besar.,Ayah saya marah besar.
Nyokap lagi masak enak.,Ibu sedang masak enak.
Gak level sama dia mah.,Tidak sebanding dengan dia.
Cus langsung ke TKP.,Ayo langsung ke tempat kejadian perkara.
Ucul banget sih anak kecil itu.,Lucu sekali anak kecil itu.
Kzl banget sama jaringannya.,Kesal sekali dengan jaringannya.
"Bomat ah, yang penting hepi.","Bodo amat ah, yang penting senang."
Wuenak tenan makanan ini.,Enak sekali makanan ini.
Napsu bener makannya.,Lahap sekali makannya.
Gak ada obat emang kerennya.,Kerennya luar biasa (tidak ada tandingannya).
"Ngokey, gue setuju.","Oke, saya setuju."
Paripurna banget penampilannya.,Sempurna sekali penampilannya.
"Mehong harganya, gak jadi beli.","Mahal harganya, tidak jadi beli."
Gak modal banget sih idenya.,Idenya tidak kreatif/murahan sekali.
"Sotau lo, diem aja deh.","Sok tahu kamu, diam saja."
Kena prank ampe nangis.,Kena jebakan/lelucon sampai menangis.
Gemes maksimal sama kucing itu.,Sangat menggemaskan kucing itu.
Jangan baperan gitu dong.,Jangan mudah terbawa perasaan begitu.
"Mager abis, enaknya tidur.","Malas bergerak sekali, enaknya tidur."
"Basi ah ceritanya, udah tau.","Ceritanya sudah tidak menarik, sudah tahu."
Asik banget nih tempatnya buat nongkrong.,Menyenangkan sekali tempat ini untuk berkumpul.
Kangen banget sama lo.,Rindu sekali denganmu.
Ciyus miapah?,Apakah kamu serius menanyakan hal itu kepadaku?
Ciyus miapah kamu nggak tau kabar terbaru tentang dia?,Apakah kamu serius tidak mengetahui kabar terbaru mengenai dirinya?
Kepo banget sih lo!,"Kamu sangat ingin tahu urusan orang lain, ya!"
Doi kepo banget sih sama postingan gue yang kemarin itu.,Dia sangat ingin tahu mengenai unggahan saya yang kemarin itu.
Mager parah hari ini.,Saya merasa sangat malas sekali hari ini.
Cuaca mendung gini bikin gue mager parah buat keluar rumah.,Cuaca mendung seperti ini membuat saya merasa sangat malas untuk keluar rumah.
"Sans aja kali, bro!","Santai saja, kawan!"
"Nggak usah panik gitu, sans aja kali, semua bakal baik-baik aja kok.","Tidak perlu panik seperti itu, santai saja, semuanya akan baik-baik saja."
Bokin gue lagi ngambek.,Kekasih saya sedang marah.
"Gara-gara telat jemput, bokin gue jadi ngambek seharian.","Karena terlambat menjemput, kekasih saya menjadi marah sepanjang hari."
Gaje banget sumpah!,Benar-benar tidak jelas sekali!
"Ceritanya dia tadi gaje banget sumpah, gue nggak ngerti maksudnya apa.","Ceritanya tadi benar-benar tidak jelas sekali, saya tidak mengerti apa maksudnya."
Ntaps soul!,Mantap sekali!
"Masakannya enak banget, ntaps soul pokoknya!","Masakannya sangat enak, mantap sekali pokoknya!"
"Woles aja, bray.","Tenang saja, kawan."
"Hadapi masalah itu dengan woles aja, bray, pasti ada solusinya.","Hadapi masalah itu dengan tenang saja, kawan, pasti ada solusinya."
"Unch, gemes banget!","Aduh, menggemaskan sekali!"
"Lihat anak kucing itu, unch, gemes banget pengen bawa pulang!","Lihat anak kucing itu, aduh, menggemaskan sekali rasanya ingin membawanya pulang!"
Japri ya kalau udah sampai.,Tolong kirim pesan pribadi jika kamu sudah sampai.
"Nanti detailnya gue kirim lewat japri ya, biar lebih enak.","Nanti rinciannya akan saya kirimkan melalui jalur pribadi ya, agar lebih nyaman."
OOTD gue hari ini simpel aja.,Pakaian yang saya kenakan hari ini sederhana saja.
Pengen liat OOTD gue pas kondangan kemarin nggak? Keren abis!,Apakah kamu ingin melihat pakaian yang saya kenakan saat pergi ke undangan pernikahan kemarin? Sangat bagus!
"Gabut nih, enaknya ngapain ya?","Saya sedang tidak ada kegiatan, sebaiknya melakukan apa ya?"
"Daripada gabut di rumah, mending kita jalan-jalan cari angin segar.","Daripada tidak ada kegiatan di rumah, lebih baik kita berjalan-jalan mencari udara segar."
Baperan banget sih jadi orang.,Kamu mudah sekali terbawa perasaan sebagai seorang individu.
"Dia dikritik dikit aja langsung baperan, padahal buat kebaikan dia juga.","Dia dikritik sedikit saja langsung mudah terbawa perasaan, padahal itu demi kebaikannya juga."
Cans banget cewek itu.,Perempuan itu sangat cantik.
"Menurut gue, artis Korea itu cans banget walaupun udah nggak muda lagi.","Menurut saya, artis Korea itu sangat cantik meskipun usianya sudah tidak muda lagi."
Gans maksimal cowok idaman.,Pria idaman itu sangat tampan.
"Aktor favorit gue tuh gans maksimal, aktingnya juga keren banget.","Aktor favorit saya itu sangat tampan, kemampuan beraktingnya juga sangat bagus."
PHP doang kerjaannya.,Dia hanya memberikan harapan palsu saja pekerjaannya.
"Udah janji mau traktir, eh malah PHP doang, nyebelin banget.","Sudah berjanji akan mentraktir, ternyata hanya memberikan harapan palsu saja, sangat menyebalkan."
Gercep ya balasnya!,Cepat sekali kamu membalasnya!
"Kalau ada info penting, tolong gercep ya kabarin yang lain juga.","Jika ada informasi penting, tolong segera kabari yang lainnya juga dengan cepat."
Monmaap nih kalau ada salah.,Mohon maaf ya jika ada kesalahan.
"Monmaap nih, Pak, saya telat datang karena macet parah di jalan tadi.","Mohon maaf ya, Pak, saya terlambat datang karena terjadi kemacetan yang parah di jalan tadi."
Nolep banget hidup gue.,Hidup saya terasa tidak memiliki kehidupan sosial.
"Semenjak pandemi, rasanya jadi nolep banget, jarang ketemu teman-teman.","Sejak pandemi, rasanya hidup menjadi tidak memiliki kehidupan sosial, jarang bertemu dengan teman-teman."
Mantul abis pemandangannya!,Pemandangannya sungguh mantap betul!
"Liburan ke gunung kemarin, pemandangannya mantul abis, nggak nyesel deh!","Saat liburan ke gunung kemarin, pemandangannya sungguh mantap betul, tidak menyesal sama sekali!"
Petjah banget penampilannya!,Penampilannya sangat memukau!
"Konser band kesukaan gue semalam petjah banget, semua penonton ikut nyanyi.","Konser band kesukaan saya semalam sangat memukau, semua penonton ikut bernyanyi."
Slay abis gayanya!,Gayanya sangat keren!
"Artis itu kalau di red carpet slay abis, selalu jadi pusat perhatian.","Artis itu jika berada di karpet merah gayanya sangat keren, selalu menjadi pusat perhatian."
Lowkey suka sama dia.,Saya diam-diam menyukai dia.
"Udah lama sih lowkey suka sama dia, tapi belum berani ngungkapin.","Sudah lama sebenarnya saya diam-diam menyukai dia, tetapi belum berani mengungkapkan."
Highkey pengen liburan.,Saya sangat ingin berlibur.
"Setelah kerja keras beberapa bulan terakhir, highkey pengen banget liburan ke pantai.","Setelah bekerja keras selama beberapa bulan terakhir, saya sangat ingin sekali berlibur ke pantai."
Chill aja kayak di pantai.,Santai saja seperti sedang berada di pantai.
"Nggak usah terlalu tegang, chill aja kayak di pantai, semua masalah pasti ada solusinya.","Tidak perlu terlalu tegang, santai saja seperti sedang berada di pantai, semua masalah pasti akan ada solusinya."
Fix no debat sih ini yang paling enak.,Sudah pasti tidak bisa dibantah lagi bahwa ini yang paling enak.
"Menurut gue, nasi goreng buatan ibu fix no debat sih, nggak ada yang bisa ngalahin.","Menurut saya, nasi goreng buatan ibu sudah pasti tidak bisa dibantah lagi, tidak ada yang bisa mengalahkannya."
Nggak nyangka se-epic ini hasilnya!,Tidak menyangka hasilnya akan sehebat ini!
"Proyek yang kita kerjain bareng ternyata hasilnya nggak nyangka se-epic ini, bener-bener di luar ekspektasi.","Proyek yang kita kerjakan bersama ternyata hasilnya tidak menyangka akan sehebat ini, benar-benar di luar ekspektasi."
Auto fokus kalau udah bahas makanan.,Saya langsung fokus jika sudah membahas makanan.
Temen-temen gue auto fokus semua kalau udah bahas rencana makan malam di mana.,Teman-teman saya langsung fokus semua jika sudah membahas rencana makan malam di mana.
Bikin salfok deh outfit kamu.,Pakaianmu membuat salah fokus.
Warna bajunya yang cerah banget bikin salfok deh dari tadi.,Warna bajunya yang sangat cerah membuat salah fokus sejak tadi.
Nggak mood banget buat ngapa-ngapain.,Saya sedang tidak bersemangat untuk melakukan apa pun.
Cuaca buruk gini bikin nggak mood banget buat keluar rumah atau ngerjain tugas.,Cuaca buruk seperti ini membuat saya tidak bersemangat untuk keluar rumah atau mengerjakan tugas.
Suka banget vibe tempat ini.,Saya sangat menyukai suasana tempat ini.
"Kafe baru itu suka banget vibe-nya, cozy banget buat nongkrong lama-lama.","Kafe baru itu saya sangat menyukai suasananya, sangat nyaman untuk berkumpul dalam waktu yang lama."
Effort banget dia buat acara ini.,Dia berusaha keras sekali untuk acara ini.
Kita harus menghargai effort dia yang udah capek-capek nyiapin kejutan ini.,Kita harus menghargai usaha kerasnya yang sudah bersusah payah menyiapkan kejutan ini.
Nggak kuat gue sama dramanya.,Saya tidak tahan dengan dramanya.
"Setiap hari ada aja masalahnya, nggak kuat gue sama dramanya yang nggak ada habisnya.","Setiap hari selalu ada saja masalahnya, saya tidak tahan dengan dramanya yang tidak ada habisnya."
So sweet banget sih kalian.,Kalian sangat manis.
"Lihat pasangan itu, so sweet banget sih, bikin iri aja.","Lihat pasangan itu, mereka sangat manis, membuat iri saja."
Bikin insecure aja postingannya.,Postingannya membuat saya merasa tidak percaya diri.
"Foto-foto liburannya yang mewah bikin insecure aja, padahal hidup kita beda.","Foto-foto liburannya yang mewah membuat saya merasa tidak percaya diri, padahal kehidupan kita berbeda."
Ngakak online gue lihat video itu.,Saya tertawa terbahak-bahak saat melihat video itu.
"Sumpah, video kucing jatuh dari meja itu ngakak online banget!","Sungguh, video kucing terjatuh dari meja itu membuat saya tertawa terbahak-bahak!"
"Nggak gitu konsepnya, bro.","Konsepnya bukan seperti itu, kawan."
"Penjelasan kamu agak melenceng, nggak gitu konsepnya yang dimaksud di buku itu.","Penjelasan kamu agak menyimpang, konsep yang dimaksud di buku itu bukan seperti itu."
Bikin good mood deh lagu ini.,Lagu ini membuat suasana hati menjadi baik.
"Setiap dengerin lagu ini pagi-pagi, langsung bikin good mood seharian.","Setiap mendengarkan lagu ini di pagi hari, langsung membuat suasana hati menjadi baik sepanjang hari."
Nggak worth it deh beli barang itu.,Tidak sepadan dengan harganya untuk membeli barang itu.
"Menurutku, kualitasnya nggak terlalu bagus, jadi nggak worth it deh kalau harganya segitu.","Menurut saya, kualitasnya tidak terlalu bagus, jadi tidak sepadan dengan harganya jika sebesar itu."
Udah move on dong dari masa lalu.,Segeralah melupakan masa lalu.
"Jangan terus-terusan sedih, udah move on dong dari masa lalu, masih banyak hal baik di depan.","Jangan terus-menerus bersedih, segeralah melupakan masa lalu, masih banyak hal baik di masa depan."
"Santuy aja, nggak usah ngegas.","Tenang saja, tidak perlu terburu-buru atau emosi."
"Hadapi masalah ini dengan santuy aja, nggak usah ngegas gitu, nanti malah makin rumit.","Hadapi masalah ini dengan tenang saja, tidak perlu terburu-buru atau emosi seperti itu, nanti justru akan semakin rumit."
Sokin atuh ceritanya yang seru.,Tolong ceritakan dong kisah yang menarik.
"Daripada diem-dieman gini, sokin atuh ceritanya yang seru biar nggak bosan.","Daripada berdiam diri seperti ini, tolong ceritakan dong kisah yang menarik agar kita tidak merasa bosan."
"Gils, keren parah lukisannya!","Wah, lukisannya sangat mengagumkan!"
"Gils, keren parah lukisannya! Detailnya dapet banget, kayak foto.","Wah, lukisannya sangat mengagumkan! Detailnya sangat bagus, persis seperti foto."
Nggak ngeh gue maksudnya apa.,Saya tidak mengerti apa maksudnya.
Dia ngomong panjang lebar tapi gue nggak ngeh sama sekali maksudnya apa.,Dia berbicara panjang lebar tetapi saya sama sekali tidak mengerti apa maksudnya.
"Parah sih kelakuannya, nggak ada akhlak.","Kelakuannya sangat buruk, tidak memiliki sopan santun."
"Udah dibantu malah nyolot, parah sih kelakuannya, emang nggak ada akhlak.","Sudah dibantu malah bersikap tidak sopan, kelakuannya sangat buruk, memang tidak memiliki sopan santun."
"Selow aja, masih banyak waktu.","Santai saja, masih banyak waktu."
"Nggak usah panik dikejar deadline, selow aja, masih banyak waktu buat nyelesaiin.","Tidak perlu panik dikejar tenggat waktu, santai saja, masih banyak waktu untuk menyelesaikannya."
Bete banget nungguin dia lama.,Saya merasa sangat jengkel karena menunggunya lama.
"Janji jam dua, sekarang udah jam tiga belum dateng juga, bete banget nungguin dia lama.","Berjanji pukul dua, sekarang sudah pukul tiga belum datang juga, saya merasa sangat jengkel karena menunggunya lama."
Nggak gitu woy cara pakainya!,Cara menggunakannya bukan seperti itu!
"Itu alat sensitif, nggak gitu woy cara pakainya! Bisa rusak nanti.","Itu alat yang sensitif, cara menggunakannya bukan seperti itu! Bisa rusak nanti."
"Halu banget sih kamu, mimpi ketinggian.","Kamu terlalu berkhayal, memiliki mimpi yang terlalu tinggi."
"Pengen jadi astronot padahal nggak suka pelajaran IPA, halu banget sih kamu, mimpi ketinggian.","Ingin menjadi astronot padahal tidak menyukai pelajaran Ilmu Pengetahuan Alam, kamu terlalu berkhayal, memiliki mimpi yang terlalu tinggi."
Sabi lah kalau cuma urusan ginian.,Bisa diatasi kalau hanya urusan seperti ini.
"Tenang aja, kalau cuma urusan ginian mah sabi lah, gue ada kenalan yang bisa bantu.","Tenang saja, kalau hanya urusan seperti ini bisa diatasi, saya memiliki kenalan yang bisa membantu."
Nggak nolak deh kalau ditraktir.,Saya tidak akan menolak jika ditraktir.
"Diajak makan gratis? Wah, nggak nolak deh kalau ditraktir makanan enak.","Diajak makan gratis? Wah, saya tidak akan menolak jika ditraktir makanan enak."
Nggak kaleng-kaleng prestasinya.,Prestasinya sangat luar biasa.
"Atlet muda itu prestasinya nggak kaleng-kaleng, udah banyak medali emas yang diraih.","Atlet muda itu prestasinya sangat luar biasa, sudah banyak medali emas yang diraihnya."
Bikin emosi jiwa deh kelakuan dia.,Kelakuannya membuat saya sangat marah.
"Udah diingetin berkali-kali masih aja diulangin, bikin emosi jiwa deh kelakuan dia.","Sudah diingatkan berkali-kali masih saja diulangi, kelakuannya membuat saya sangat marah."
Nggak nyangka secandu ini sama drama Korea.,Tidak menyangka saya akan seketagihan ini dengan drama Korea.
"Awalnya cuma iseng nonton, eh nggak nyangka secandu ini sama drama Korea, sampai begadang terus.","Awalnya hanya iseng menonton, eh tidak menyangka saya akan seketagihan ini dengan drama Korea, sampai begadang terus."
Bikin gagal fokus deh suaranya.,Suaranya membuat saya tidak bisa berkonsentrasi.
"Ada yang nyanyi fals di sebelah, bikin gagal fokus deh dari tadi mau ngerjain laporan.","Ada yang bernyanyi tidak sesuai nada di sebelah, suaranya membuat saya tidak bisa berkonsentrasi sejak tadi saat ingin mengerjakan laporan."
Nggak level deh sama dia.,Saya tidak setara dengannya.
"Dari segi pengalaman dan pengetahuan, kayaknya gue nggak level deh kalau disuruh debat sama dia.","Dari segi pengalaman dan pengetahuan, sepertinya saya tidak setara jika diminta berdebat dengannya."
Bikin auto ngiler lihat makanannya.,Melihat makanannya membuat saya langsung ingin makan.
"Foto makanan di restoran itu bikin auto ngiler, jadi pengen nyobain semua menunya.","Foto makanan di restoran itu membuat saya langsung ingin makan, jadi ingin mencoba semua menunya."
Nggak gitu sistemnya di sini.,Sistem di sini bukan seperti itu.
"Kamu salah prosedur, nggak gitu sistemnya di sini, harusnya lapor dulu ke atasan.","Kamu salah prosedur, sistem di sini bukan seperti itu, seharusnya melapor dulu kepada atasan."
Bikin nagih banget rasanya.,Rasanya sangat membuat ketagihan.
"Camilan baru ini bikin nagih banget rasanya, sekali coba pasti pengen lagi.","Camilan baru ini rasanya sangat membuat ketagihan, sekali mencoba pasti ingin lagi."
Nggak kuat lihat tingkah lucunya.,Saya tidak tahan melihat tingkah lakunya yang lucu.
"Anak kecil itu tingkahnya lucu banget, nggak kuat deh pengen nyubit pipinya.","Anak kecil itu tingkah lakunya sangat lucu, saya tidak tahan ingin mencubit pipinya."
Bikin adem ayem suasana hatinya.,Membuat suasana hatinya menjadi tenang dan damai.
Dengerin musik klasik sore-sore gini bikin adem ayem suasana hatinya.,Mendengarkan musik klasik di sore hari seperti ini membuat suasana hatinya menjadi tenang dan damai.
Nggak ngefek sama gue omongan lo.,Ucapanmu tidak berpengaruh sama sekali pada saya.
Mau nakut-nakutin juga nggak ngefek sama gue omongan lo yang gitu-gitu doang.,"Meskipun kamu mencoba menakut-nakuti, ucapanmu yang seperti itu tidak berpengaruh sama sekali pada saya."
Bikin zonk acara yang udah ditunggu-tunggu.,Acara yang sudah ditunggu-tunggu ternyata mengecewakan.
"Udah dateng jauh-jauh, eh ternyata acaranya bikin zonk, nggak sesuai ekspektasi sama sekali.","Sudah datang jauh-jauh, ternyata acaranya mengecewakan, sama sekali tidak sesuai dengan harapan."
Nggak nyambung banget sih diajak ngobrol.,Diajak berbicara tidak nyambung sama sekali.
"Setiap diajak ngobrol topik serius, jawabannya selalu ngelantur, nggak nyambung banget sih.","Setiap diajak berbicara mengenai topik serius, jawabannya selalu tidak karuan, tidak nyambung sama sekali."
Bikin riweh aja deh kamu kalau lagi panik.,Kamu hanya membuat suasana menjadi kacau jika sedang panik.
"Udah tau waktunya mepet, eh malah panik nggak jelas, bikin riweh aja deh kamu.","Sudah tahu waktunya hampir habis, malah panik tidak jelas, kamu hanya membuat suasana menjadi kacau."
Nggak berkutik dia kalau udah ketemu ibunya.,Dia tidak bisa berbuat apa-apa jika sudah bertemu ibunya.
"Selama ini kelihatan berani, tapi kalau udah ketemu ibunya, dia nggak berkutik sama sekali.","Selama ini terlihat berani, tetapi jika sudah bertemu ibunya, dia sama sekali tidak bisa berbuat apa-apa."
Bikin speechless lihat keindahan alam di sana.,Melihat keindahan alam di sana membuat saya terdiam tanpa kata.
"Pemandangan matahari terbenam di pantai itu bikin speechless, bener-bener luar biasa.","Pemandangan matahari terbenam di pantai itu membuat saya terdiam tanpa kata, benar-benar luar biasa."
Nggak ada obat memang kelakuan bocah zaman sekarang.,Memang tidak ada cara untuk mengubah kelakuan anak-anak zaman sekarang.
"Lihat aja tingkah mereka di media sosial, nggak ada obat memang kelakuan bocah zaman sekarang.","Coba lihat saja tingkah laku mereka di media sosial, memang tidak ada cara untuk mengubah kelakuan anak-anak zaman sekarang."
Bikin overthinking deh masalah ini.,Masalah ini membuat saya berpikir berlebihan.
"Hal sekecil ini aja bisa bikin overthinking semalaman, susah banget buat tenang.","Hal sekecil ini saja bisa membuat saya berpikir berlebihan sepanjang malam, sulit sekali untuk tenang."
Nggak ngerti lagi deh sama jalan pikirannya.,Saya sudah tidak mengerti lagi dengan cara dia berpikir.
"Udah dijelasin panjang lebar masih nggak paham juga, nggak ngerti lagi deh sama jalan pikirannya.","Sudah dijelaskan panjang lebar masih tidak paham juga, saya sudah tidak mengerti lagi dengan cara dia berpikir."
Bikin auto baper kalau dengerin lagu galau.,Mendengarkan lagu sedih otomatis membuat saya terbawa perasaan.
"Jangan setel lagu galau deh, nanti malah bikin auto baper, padahal lagi pengen seneng.","Jangan putar lagu sedih, nanti justru otomatis membuat saya terbawa perasaan, padahal sedang ingin merasa senang."
Nggak gitu maksud dan tujuannya.,Maksud dan tujuannya bukan seperti itu.
"Kamu salah interpretasi, nggak gitu maksud dan tujuannya dari perkataan saya tadi.","Kamu salah menafsirkan, maksud dan tujuannya dari perkataan saya tadi bukan seperti itu."
Bikin males gerak deh cuaca mendung gini.,Cuaca mendung seperti ini membuat saya malas bergerak.
"Dari pagi udah mendung, bawaannya pengen rebahan terus, bikin males gerak deh.","Dari pagi sudah mendung, rasanya ingin berbaring terus, cuaca seperti ini membuat saya malas bergerak."
Nggak nyangka se-random ini obrolannya.,Tidak menyangka obrolannya akan serandom ini.
"Baru mulai ngobrol lima menit, topiknya udah ke mana-mana, nggak nyangka se-random ini.","Baru mulai berbicara lima menit, topiknya sudah ke mana-mana, tidak menyangka akan serandom ini."
Bikin oleng iman lihat diskon gede-gedean.,Melihat diskon besar-besaran membuat iman saya goyah.
"Udah niat mau hemat, eh lihat diskon gede-gedean jadi bikin oleng iman pengen belanja.","Sudah berniat ingin berhemat, eh melihat diskon besar-besaran jadi membuat keinginan untuk berbelanja menjadi kuat."
"Nggak ada angin nggak ada hujan, tiba-tiba marah.","Tanpa alasan yang jelas, tiba-tiba marah."
"Aneh banget dia, nggak ada angin nggak ada hujan, tiba-tiba aja marah-marah nggak jelas.","Aneh sekali dia, tanpa alasan yang jelas, tiba-tiba saja marah-marah tidak jelas."
Bikin nyesek di dada dengar ceritanya.,Mendengar ceritanya membuat saya merasa sesak di dada.
"Cerita tentang perjuangan hidupnya bikin nyesek di dada, terharu sekaligus sedih.","Cerita tentang perjuangan hidupnya membuat saya merasa sesak di dada, terharu sekaligus sedih."
Nggak gitu cara kerjanya di organisasi ini.,Cara kerjanya di organisasi ini bukan seperti itu.
"Sebagai anggota baru, kamu harus tahu, nggak gitu cara kerjanya di organisasi ini, ada prosedurnya.","Sebagai anggota baru, kamu harus tahu, cara kerjanya di organisasi ini bukan seperti itu, ada prosedurnya yang harus diikuti."
Bikin auto senyum lihat tingkah polahnya.,Melihat tingkah lakunya otomatis membuat saya tersenyum.
"Anak kecil kalau lagi main suka lucu-lucu tingkah polahnya, bikin auto senyum deh.","Anak kecil jika sedang bermain suka bertingkah laku lucu, otomatis membuat saya tersenyum."
Nggak worth the effort deh kalau hasilnya gitu doang.,Tidak sepadan dengan usaha yang dikeluarkan jika hasilnya hanya seperti itu.
"Udah begadang semalaman ngerjain tugas, eh nilainya cuma segitu, nggak worth the effort deh.","Sudah begadang semalaman mengerjakan tugas, eh nilainya hanya segitu, tidak sepadan dengan usaha yang dikeluarkan."
Bikin penasaran banget kelanjutan ceritanya.,Kelanjutan ceritanya membuat saya sangat penasaran.
"Ending film kemarin gantung banget, bikin penasaran banget kelanjutan ceritanya di season berikutnya.","Akhir film kemarin sangat menggantung, kelanjutan ceritanya di musim berikutnya membuat saya sangat penasaran."
Nggak nyangka se-kompleks ini permasalahannya.,Tidak menyangka permasalahannya akan sekompleks ini.
"Awalnya kelihatan sepele, tapi ternyata setelah diusut, nggak nyangka se-kompleks ini permasalahannya.","Awalnya terlihat sederhana, tetapi ternyata setelah diselidiki, permasalahannya tidak menyangka akan sekompleks ini."
Bikin adem suasana kalau dia udah ngomong.,Ucapannya membuat suasana menjadi tenang.
"Dia itu pembawaannya tenang, setiap kali ngomong bikin adem suasana, jadi enak didengerin.","Dia itu pembawaannya tenang, setiap kali berbicara ucapannya membuat suasana menjadi tenang, jadi enak didengarkan."
Nggak ngefeel sama lagunya.,Saya tidak merasakan emosi atau koneksi dengan lagunya.
"Meskipun banyak yang suka, jujur gue nggak ngefeel sama lagunya, melodinya biasa aja.","Meskipun banyak orang yang menyukainya, jujur saya tidak merasakan emosi atau koneksi dengan lagunya, melodinya biasa saja."
Bikin auto fokus kalau udah bahas diskonan.,Saya langsung fokus jika sudah membahas potongan harga.
Jangan heran kalau emak-emak auto fokus kalau udah bahas diskonan di supermarket.,Jangan heran jika ibu-ibu langsung fokus jika sudah membahas potongan harga di supermarket.
Nggak kuat deh lihat muka melasnya.,Saya tidak tahan melihat ekspresi memelasnya.
"Setiap kali ketahuan salah, dia selalu pasang muka melas, nggak kuat deh lihatnya.","Setiap kali ketahuan berbuat salah, dia selalu menunjukkan ekspresi memelas, saya tidak tahan melihatnya."
Bikin overthinking tengah malam.,Membuat saya berpikir berlebihan di tengah malam.
"Chat dari dia semalam bikin overthinking tengah malam, jadi susah tidur.","Pesan dari dia semalam membuat saya berpikir berlebihan di tengah malam, sehingga sulit untuk tidur."
Nggak nyangka se-effort itu dia nyiapin kejutan.,Tidak menyangka dia berusaha sekeras itu menyiapkan kejutan.
"Pas ulang tahun kemarin, gue nggak nyangka se-effort itu dia nyiapin kejutan yang romantis banget.","Saat ulang tahun kemarin, saya tidak menyangka dia berusaha sekeras itu menyiapkan kejutan yang sangat romantis."
Bikin salting deh pujian dari dia.,Pujian darinya membuat saya merasa salah tingkah.
"Tiba-tiba dipuji cantik gitu, bikin salting deh, jadi nggak tahu mau jawab apa.","Tiba-tiba dipuji cantik seperti itu, pujian darinya membuat saya merasa salah tingkah, jadi tidak tahu harus menjawab apa."
Nggak gitu alurnya cerita ini.,Alur cerita ini bukan seperti itu.
"Setelah baca sampai akhir, ternyata nggak gitu alurnya cerita ini, banyak plot twist yang nggak terduga.","Setelah membaca sampai akhir, ternyata alur cerita ini bukan seperti itu, ada banyak kejutan dalam alur yang tidak terduga."
Bikin good vibes deh ketemu teman-teman lama.,Bertemu teman-teman lama memberikan suasana positif.
"Reuni kemarin bener-bener bikin good vibes deh, jadi semangat lagi setelah ketemu mereka.","Reuni kemarin benar-benar memberikan suasana positif, membuat saya kembali bersemangat setelah bertemu mereka."
